"docs_title","docs_slug","docs_description","docs_featured_image","docs_tags","category_title","category_slug","category_description","docs_status","docs_seo_meta_title","docs_seo_meta_description"
"Blanking Error","blanking-error","<p><span style=""font-weight: 400;"">The Blanking Error"", occurs when the filter pump is faulty. This will cause your display screen to momentarily ""blank out"" if the filter, heater, ozone or UVC buttons are pushed (any function that requires the filter pump to engage).</span></p> <p><span style=""font-weight: 400;"">If you are experiencing the blanking error, please send your control unit only to the address on the form below along with your details and Shopify number if known and include in the box. Write blanking error as the fault. Banana boxes work great for shipping control units.</span></p> <p><span style=""font-weight: 400;"">PLEASE SEE NEW COST SAVING SHIPPING POLICY </span><a href=""https://portablespas.co.nz/products/unit-shipping-label-prepaid-return-shipping""><span style=""font-weight: 400;"">HERE</span></a></p> <p><a href=""https://attachments.gorgias.help/Q9r0k7Bmd9G2vg13/hc/eynJd7OpgAx9ERow/2025020221-9e1a7feb-8aac-45b9-858c-8a375313d9ea-return%20control%20unit%20form.pdf""><span style=""font-weight: 400;"">Return Control Unit Form.pdf</span></a><span style=""font-weight: 400;"">124.8KB</span></p> <p><span style=""font-weight: 400;"">If your spa model has a smart control, please see this </span><a href=""https://www.youtube.com/watch?v=NY7GNmYfXEQ""><span style=""font-weight: 400;"">video</span></a><span style=""font-weight: 400;""> for instructions on how to remove the control unit from the spa shell.&nbsp;</span></p> <p><span style=""font-weight: 400;"">WHEN REMOVING THE CONTROL UNIT FROM THE SPA SHELL, BE ESPECIALLY CAREFUL REMOVING THE WHITE ROTATION KNOB FROM THE UNIT. </span></p> <p><span style=""font-weight: 400;"">AFTER REMOVING THE SCREW HOLDING THE KNOB IN PLACE, GENTLY PULL OUTWARD WHILST GENTLY TURNING THE KNOB. IT WILL SLOWLY COME OUT. </span></p> <p><span style=""font-weight: 400;"">WHEN RE-INSERTING THE KNOB WHEN RE-INSTALLING CONTROL UNIT INTO SPA SHELL, VERY GENTLY PUSH INWARDS WHILST ROTATING THE KNOB. YOU WILL FEEL IT LOCK INTO PLACE. THEN TIGHTEN THE SCREW. </span></p> <p><span style=""font-weight: 400;"">THERE IS A VERY THIN MICROSWITCH UNDERNEATH THE HOLE THE KNOB FITS INTO. IF YOU FORCE THE KNOB IN OR OUT WHEN REMOVING OR RE-INSTALLING, YOU CAN DAMAGE THE MICROSWITCH. THIS WILL RESULT IN BUBBLER NOT WORKING AND THE MICROSWITCH WILL NEED TO BE REPLACED.</span></p> <p><span style=""font-weight: 400;"">Please note that it is not necessary to contact Portable Spas before sending your unit provided the form is included in the box. Please Do Not Include Inlet And Outlet Grills Nor Rotation Knobs With Your Control Unit.</span></p>","","","Troubleshooting","troubleshooting","<p style=""text-align: left;""><span style=""font-size: 16px;""><strong>IMPORTANT NOTICE:</strong> For MSpas, with inflated liners / shells, please do not deflate or drain the spa unless you are absolutely certain that is necessary to clear any error. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">Similarly, unless you are positive that your error has been resolved, please do not refill your MSpa. If the error persists, you will have to deflate and drain your MSpa again to send us your control unit for assessment and repair. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">If you have any questions or concerns, please email us at </span><a style=""color: #1155cc; font-size: 16px;"" href=""mailto:service@portablespas.co.nz"" target=""_blank"" rel=""noopener"">service@portablespas.co.nz</a><span style=""font-size: 16px;"">&nbsp;or phone Dave on 027 411 2323&nbsp;</span></p>","published","Blanking Error","The Blanking Error"", occurs when the filter pump is faulty. This will cause your display screen to momentarily ""blank out"" if the filter, heater, ozone or UVC button"
"Bubbler Times Out","bubbler-times-out","<p><span style=""font-weight: 400;"">The bubble function on all of our Portable Spas models will time out for 10 minutes after 20 minutes of continuous use. </span></p> <p><span style=""font-weight: 400;"">The bubbler function will be inoperative until 10 minutes of rest time has elapsed and pressing the button will have no effect. </span></p> <p><span style=""font-weight: 400;"">After 10 minutes, the bubbler function will once again become operative and will function as normal.</span></p>","","","Troubleshooting","troubleshooting","<p style=""text-align: left;""><span style=""font-size: 16px;""><strong>IMPORTANT NOTICE:</strong> For MSpas, with inflated liners / shells, please do not deflate or drain the spa unless you are absolutely certain that is necessary to clear any error. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">Similarly, unless you are positive that your error has been resolved, please do not refill your MSpa. If the error persists, you will have to deflate and drain your MSpa again to send us your control unit for assessment and repair. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">If you have any questions or concerns, please email us at </span><a style=""color: #1155cc; font-size: 16px;"" href=""mailto:service@portablespas.co.nz"" target=""_blank"" rel=""noopener"">service@portablespas.co.nz</a><span style=""font-size: 16px;"">&nbsp;or phone Dave on 027 411 2323&nbsp;</span></p>","published","Bubbler Times Out","The bubble function on all of our Portable Spas models will time out for 10 minutes after 20 minutes of continuous use. The bubbler function will be inoperative unt"
"Camaro Cover Lid Will Not Zip","camaro-cover-lid-will-not-zip","<p><span style=""font-weight: 400;"">If your Camaro cover top lid is no longer zipping properly, it likely needs a replacement zipper head. </span></p> <p><span style=""font-weight: 400;"">Please </span><a href=""https://portablespas.co.nz/pages/contact""><span style=""font-weight: 400;"">contact us</span></a><span style=""font-weight: 400;""> to get a replacement zipper head sent to you.</span></p> <p>&nbsp;</p> <p><iframe src=""https://www.youtube.com/embed/YCA3li_sJ0s"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen""></iframe></p>","","","Troubleshooting","troubleshooting","<p style=""text-align: left;""><span style=""font-size: 16px;""><strong>IMPORTANT NOTICE:</strong> For MSpas, with inflated liners / shells, please do not deflate or drain the spa unless you are absolutely certain that is necessary to clear any error. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">Similarly, unless you are positive that your error has been resolved, please do not refill your MSpa. If the error persists, you will have to deflate and drain your MSpa again to send us your control unit for assessment and repair. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">If you have any questions or concerns, please email us at </span><a style=""color: #1155cc; font-size: 16px;"" href=""mailto:service@portablespas.co.nz"" target=""_blank"" rel=""noopener"">service@portablespas.co.nz</a><span style=""font-size: 16px;"">&nbsp;or phone Dave on 027 411 2323&nbsp;</span></p>","published","Camaro Cover Lid Will Not Zip","If your Camaro cover top lid is no longer zipping properly, it likely needs a replacement zipper head. Please contact us to get a replacement zipper head sent to yo"
"E1 and F1 Errors","e1-and-f1-errors","<p><span style=""font-weight: 400;"">THE YELLOW CORD RESET WILL NOT RESOLVE AN ERROR CODE. IT WILL ONLY CORRECT A UNIT THAT IS NOT HEATING</span></p> <p><img src=""https://storage.googleapis.com/betterdocs-shopify-assets/11904/mceu_96180594051758079382336.jpg"" width=""400"" /></p> <p><span style=""font-weight: 400;"">Hello. We are terribly sorry you are experiencing a flow error with your control unit.</span></p> <p><span style=""font-weight: 400;"">The heating unit will default to an E1 or F1 error if it detects a blockage or decreased flow within the system as a way of protecting itself to avoid severe internal damage. Often this is because the filters are dirty and/or need replacing. Filters need to be cleaned at least weekly and replaced with new every 4-6 weeks. Recycling filters will not work as the paper pleats break down over time, restricting flow. When you are cleaning the filter we would also recommend cleaning the filter grills thoroughly as sometimes these can collect debris that the filter doesn&rsquo;t always catch.</span></p> <p><span style=""font-weight: 400;"">Please try the following for an E1 or F1 error:</span></p> <p><span style=""font-weight: 400;"">Firstly, power up the unit and press the filter button only. If you can't hear the pump running before the error appears or if it sounds louder than normal or unusual, there is an issue with the filter pump. You will need to send the control unit to our tech team to sort the problem. Please send your control unit only to the address on the attached form below along with your details and include in the box. Banana boxes work great for shipping control units.&nbsp;</span></p> <p><span style=""font-weight: 400;"">If your spa model has a smart control, please see this </span><a href=""https://www.youtube.com/watch?v=NY7GNmYfXEQ""><span style=""font-weight: 400;"">video</span></a><span style=""font-weight: 400;""> for instructions on how to remove the control unit from the spa shell.&nbsp;</span></p> <p><span style=""font-weight: 400;""><iframe src=""https://www.youtube.com/embed/NY7GNmYfXEQ"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen""></iframe></span></p> <p><span style=""font-weight: 400;"">WHEN REMOVING THE CONTROL UNIT FROM THE SPA SHELL, BE ESPECIALLY CAREFUL REMOVING THE WHITE ROTATION KNOB FROM THE UNIT. </span></p> <p><span style=""font-weight: 400;"">AFTER REMOVING THE SCREW HOLDING THE KNOB IN PLACE, GENTLY PULL OUTWARD WHILST GENTLY TURNING THE KNOB. IT WILL SLOWLY COME OUT. </span></p> <p><span style=""font-weight: 400;"">WHEN RE-INSERTINGTHE KNOB DURING RE-INSTALLATION OF THE CONTROL UNIT INTO THE SPA SHELL, VERY GENTLY PUSH INWARDS WHILST ROTATING THE KNOB. YOU WILL FEEL IT LOCK INTO PLACE. THEN TIGHTEN THE SCREW. </span></p> <p><span style=""font-weight: 400;"">THERE IS A VERY THIN MICROSWITCH UNDERNEATH THE HOLE THE KNOB FITS INTO. IF YOU FORCE THE KNOB IN OR OUT WHEN REMOVING OR RE-INSTALLING, YOU CAN DAMAGE THE MICROSWITCH. THIS WILL RESULT IN BUBBLER NOT WORKING AND THE MICROSWITCH WILL NEED TO BE REPLACED.</span></p> <p><span style=""font-weight: 400;"">Please note that it is not necessary to contact Portable Spas before sending your unit provided the form is included in the box. Please Do Not Include Inlet And Outlet Grills Nor Rotation Knobs With Your Control Unit.</span></p> <p><a href=""https://attachments.gorgias.help/Q9r0k7Bmd9G2vg13/hc/eynJd7OpgAx9ERow/2025020220-50332405-149c-4ba9-986d-d3adff5164a4-return%20control%20unit%20form.pdf""><span style=""font-weight: 400;"">Return Control Unit Form.pdf</span></a><span style=""font-weight: 400;"">124.8KB</span></p> <p><span style=""font-weight: 400;"">PLEASE SEE NEW COST SAVING SHIPPING POLICY </span><a href=""https://portablespas.co.nz/products/unit-shipping-label-prepaid-return-shipping""><span style=""font-weight: 400;"">HERE</span></a></p> <p><span style=""font-weight: 400;"">If you can hear the pump running and sounds normal, we have identified that the pump is not the issue. Please proceed with the following steps:</span></p> <ul> <li><span style=""font-weight: 400;""> Turn the heating unit completely off. To do this, either go to your PRCD on the unit and press the test function or switch off power to your unit at the wall.</span></li> <li><span style=""font-weight: 400;""> Now reach inside your spa and turn the filter to the left to remove it from the inlet grill. We recommend that you clean the filter at least once per week and replace the filter completely every 4-6 weeks. </span><a href=""https://portablespas.co.nz/collections/accessories/products/filter-cartridge-twin-pack-120-pleats""><span style=""font-weight: 400;"">120 Pleat Filters can be purchased here</span></a></li> <li><span style=""font-weight: 400;""> Put the filter to the side.</span></li> <li><span style=""font-weight: 400;""> If your spa model has a filter cartridge base, unscrew the filter cartridge base to the left, releasing it from the inlet filter grill and also put it to the side.</span></li> <li><span style=""font-weight: 400;""> Use your hand to rub away any debris from the grill.</span></li> <li><span style=""font-weight: 400;""> Get your garden hose and turn it on. Move it all around both the inlet and outlet grills to give them a good clean.</span></li> </ul> <p><span style=""font-weight: 400;"">● On occasion the filter inlet and outlet grills will need to be removed to be cleaned out properly. If this is required you will need to drain the water level of the spa so it rests </span></p> <p><span style=""font-weight: 400;"">BELOW THE GRILLS. IF YOU REMOVE EITHER GRILL WHILST UNDER WATER IT WILL CAUSE CATASTROPHIC DAMAGE TO YOUR HEATING UNIT! </span></p> <p><span style=""font-weight: 400;"">Once water level is safely below the grills you can use the wrench tool that came with your spa and unscrew them. </span></p> <p><span style=""font-weight: 400;"">Remove and give a thorough wash. With filter grills removed, it is also a good idea to look inside the inlet and outlet at the hanging ""flappers""- these are the flow switches. </span></p> <p><span style=""font-weight: 400;"">See if any lint, hair, etc has made its way through the system and is interfering with the flow switches working properly as seen below. If so, gently reach inside the inlet and outlet with a small flathead screwdriver or tweezers, etc and remove the debris.</span></p> <p><span style=""font-weight: 400;""><img src=""https://storage.googleapis.com/betterdocs-shopify-assets/11906/mceu_31081321661758079605378.jpg"" width=""400"" /></span></p> <p><span style=""font-weight: 400;"">Good practice is to skim any hair, lint, leaves etc out of the pool as soon as you see it and to turn off the heater/filter when removing the filter to clean or replace to avoid inadvertently sucking any debris through the system.&nbsp;</span></p> <p><span style=""font-weight: 400;"">After cleaning is complete, screw the grills back onto the side of the spa making sure they are tight. Be sure that the grill with the prongs on each side screws into the top hole.</span></p> <p><span style=""font-weight: 400;"">Here is a YouTube video on how to remove and clean the inlet and outlet filter grills:</span></p> <p><span style=""font-weight: 400;""><iframe src=""https://www.youtube.com/embed/Tg5U4XKNLrg"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen""></iframe></span></p> <ul> <li><span style=""font-weight: 400;""> Screw the filter back onto the inlet grill or refit the filter cartridge base if your spa has one and then refit the filter.</span></li> <li><span style=""font-weight: 400;""> Refill spa (up to the max line if needed).</span></li> <li><span style=""font-weight: 400;""> Turn the switch at the wall back on to power the unit and/or go to the PRCD on the power cord and press reset to turn your spa back on. Then press test to make sure it turns off. Press reset again. Operate spa as normal.</span></li> <li><span style=""font-weight: 400;""> If the E1//F1 error appears immediately after powering back up, press and hold the temp down button three seconds to clear.</span></li> </ul> <p><span style=""font-weight: 400;"">PLEASE NOTE THAT THE BLUE FILTER SOCK COVERINGS ON OLDER MODELS ARE NOT COMPATIBLE WITH THE 120 PLEAT (NON-CARTRIDGE BASE) FILTERS AND WILL CAUSE AN E1/F1 ERROR.</span></p> <p><span style=""font-weight: 400;"">A water level below the inlet grill or people splashing in the pool can cause the system to intake air and may also result in an E1 or F1 error.</span></p> <p><span style=""font-weight: 400;"">If you have a Mono, Tuscany or Tribeca model that is showing an F1 code and have filled it for the very first time or have drained the spa and just refilled it, you likely have an airlock. Turn the control unit off and go to the top pipe connection between the spa and the control unit as shown below.</span></p> <p>&nbsp;</p> <p><span style=""font-weight: 400;""><img src=""https://storage.googleapis.com/betterdocs-shopify-assets/11908/mceu_91886717271758079743747.jpg"" /></span></p> <p style=""color: #161616; font-size: 16px;"">Loosen the grey threaded collar and you should hear air escape. Once you no longer hear the escaping air and water starts to trickle out, tighten the connection back up. Turn power to the control unit back on and press heater. You should now hear water moving through the system and the error will no longer appear.</p> <p style=""color: #161616; font-size: 16px;"">If none of the above has corrected the problem, you will need to send your control unit only to our technical team in Christchurch to assess. Please send the control unit to the address on the Return Control Unit Form attachment below and include the form with your details and Shopify number if known inside the box. Banana boxes work great for shipping control units.</p> <p style=""color: #161616; font-size: 16px;""><strong id=""isPasted"" style=""color: #161616; font-size: 16px;"">Please note that it is not necessary&nbsp;</strong><strong style=""color: #161616; font-size: 16px;"">to contact Portable Spas before sending your unit provided the form is included in the box.&nbsp;</strong><strong>Please Do Not Include Inlet And Outlet Grills Nor Rotation Knobs With Your Control Unit.</strong></p> <p style=""color: #161616; font-size: 16px;""><strong><u id=""isPasted"">PLEASE SEE NEW COST SAVING SHIPPING POLICY&nbsp;</u><a style=""color: #d4af37;"" href=""https://portablespas.co.nz/products/unit-shipping-label-prepaid-return-shipping""><u>HERE</u></a></strong></p> <div class=""file-attachment-wrapper css-3ohe1f ekzjb7k3"" style=""color: #161616; font-size: 16px;""><a class=""css-1438u08 ekzjb7k1"" style=""color: #d4af37;"" href=""https://attachments.gorgias.help/Q9r0k7Bmd9G2vg13/hc/eynJd7OpgAx9ERow/2025020220-e06e67c7-aebc-4640-8ada-4234b821ff28-return%20control%20unit%20form.pdf"" target=""_blank"" rel=""noopener noreferrer"">Return Control Unit Form.pdf</a><span class=""css-1h4lrz2 ekzjb7k0"" style=""color: #d2d7de;"">124.8KB</span></div>","","","Troubleshooting","troubleshooting","<p style=""text-align: left;""><span style=""font-size: 16px;""><strong>IMPORTANT NOTICE:</strong> For MSpas, with inflated liners / shells, please do not deflate or drain the spa unless you are absolutely certain that is necessary to clear any error. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">Similarly, unless you are positive that your error has been resolved, please do not refill your MSpa. If the error persists, you will have to deflate and drain your MSpa again to send us your control unit for assessment and repair. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">If you have any questions or concerns, please email us at </span><a style=""color: #1155cc; font-size: 16px;"" href=""mailto:service@portablespas.co.nz"" target=""_blank"" rel=""noopener"">service@portablespas.co.nz</a><span style=""font-size: 16px;"">&nbsp;or phone Dave on 027 411 2323&nbsp;</span></p>","published","E1 and F1 Errors","THE YELLOW CORD RESET WILL NOT RESOLVE AN ERROR CODE. IT WILL ONLY CORRECT A UNIT THAT IS NOT HEATING Hello. We are terribly sorry you are experiencing a flow error"
"Oslo","oslo","<p><a title=""Oslo Quick Installation Guide"" href=""https://cdn.shopify.com/s/files/1/0493/3651/6768/files/oslo-quick-installation-guide.pdf?v=1756707453"" target=""_blank"" rel=""noopener"">Oslo Quick Installation Guide (pdf)</a></p> <p>&nbsp;</p> <p><iframe src=""https://www.youtube.com/embed/ivGULWVhLG8?t"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen""></iframe></p>","","","Owners Manuals","owners-manuals","","published","Oslo","Oslo Quick Installation Guide (pdf)"
"Fencing Requirements","fencing-requirements","<p><span style=""font-weight: 400;"">Our Portable Spa NZ range meets the requirements for having </span><span style=""font-weight: 400;"">a complying lockable safety cover</span><span style=""font-weight: 400;""> but does not meet the height requirements</span><span style=""font-weight: 400;""> of the spa being at least 760mm above any adjacent floor (this includes surrounding decks), ground or surface the spa pool sits on. </span></p> <p><span style=""font-weight: 400;"">Our spas are ether 650mm or 700mm in height.</span></p>","","","Troubleshooting","troubleshooting","<p style=""text-align: left;""><span style=""font-size: 16px;""><strong>IMPORTANT NOTICE:</strong> For MSpas, with inflated liners / shells, please do not deflate or drain the spa unless you are absolutely certain that is necessary to clear any error. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">Similarly, unless you are positive that your error has been resolved, please do not refill your MSpa. If the error persists, you will have to deflate and drain your MSpa again to send us your control unit for assessment and repair. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">If you have any questions or concerns, please email us at </span><a style=""color: #1155cc; font-size: 16px;"" href=""mailto:service@portablespas.co.nz"" target=""_blank"" rel=""noopener"">service@portablespas.co.nz</a><span style=""font-size: 16px;"">&nbsp;or phone Dave on 027 411 2323&nbsp;</span></p>","published","Fencing Requirements","Our Portable Spa NZ range meets the requirements for having a complying lockable safety cover but does not meet the height requirements of the spa being at least 760"
"Filter Cleaning And Replacement","filter-cleaning-and-replacement","<p><span style=""font-weight: 400;"">Filters should be cleaned at least once per week, but as a rule wash them thoroughly with a garden hose anytime filters start to look brown in colour like in this video:</span></p> <p><span style=""font-weight: 400;""><iframe src=""https://www.youtube.com/embed/Tg5U4XKNLrg"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen""></iframe></span></p> <p><span style=""font-weight: 400;"">Filters should be replaced </span><span style=""font-weight: 400;"">WITH NEW EVERY 4-6 WEEKS.</span><span style=""font-weight: 400;""> Filters older than this may appear clean but the paper pleats will begin to break down, restricting flow and likely causing heating errors or flow errors to appear on your touchpad/smart control.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></p> <p><span style=""font-weight: 400;"">RECYCLING FILTERS WILL EVENTUALLY NOT WORK AND WILL CAUSE ISSUES WITH YOUR SYSTEM</span></p> <p><span style=""font-weight: 400;"">Good practice is to skim any hair, lint, leaves etc out of the pool as soon as you see it and to turn off the heater/filter when removing the filter to clean or replace it. This avoids inadvertently sucking any debris through the system. </span></p> <p><span style=""font-weight: 400;"">Debris unknowingly sucked inside the control unit can interfere with the inlet and outlet flow switches, as seen below, and will result in flow errors.</span></p> <p><span style=""font-weight: 400;""><img src=""https://storage.googleapis.com/betterdocs-shopify-assets/11978/mceu_56404513111758157583983.jpg"" width=""400"" /></span></p> <p><a href=""https://portablespas.co.nz/collections/accessories/products/filter-cartridge-twin-pack-120-pleats""><span style=""font-weight: 400;"">120 Pleat Filters can be purchased here</span></a></p>","","","Troubleshooting","troubleshooting","<p style=""text-align: left;""><span style=""font-size: 16px;""><strong>IMPORTANT NOTICE:</strong> For MSpas, with inflated liners / shells, please do not deflate or drain the spa unless you are absolutely certain that is necessary to clear any error. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">Similarly, unless you are positive that your error has been resolved, please do not refill your MSpa. If the error persists, you will have to deflate and drain your MSpa again to send us your control unit for assessment and repair. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">If you have any questions or concerns, please email us at </span><a style=""color: #1155cc; font-size: 16px;"" href=""mailto:service@portablespas.co.nz"" target=""_blank"" rel=""noopener"">service@portablespas.co.nz</a><span style=""font-size: 16px;"">&nbsp;or phone Dave on 027 411 2323&nbsp;</span></p>","published","Filter Cleaning And Replacement","Filters should be cleaned at least once per week, but as a rule wash them thoroughly with a garden hose anytime filters start to look brown in colour like in this vi"
"Filter Cleaning And Replacement","filter-cleaning-and-replacement","<p><span style=""font-weight: 400;"">Filters should be cleaned at least once per week, but as a rule wash them thoroughly with a garden hose anytime filters start to look brown in colour like in this video:</span></p> <p><span style=""font-weight: 400;""><iframe src=""https://www.youtube.com/embed/Tg5U4XKNLrg"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen""></iframe></span></p> <p><span style=""font-weight: 400;"">Filters should be replaced </span><span style=""font-weight: 400;"">WITH NEW EVERY 4-6 WEEKS.</span><span style=""font-weight: 400;""> Filters older than this may appear clean but the paper pleats will begin to break down, restricting flow and likely causing heating errors or flow errors to appear on your touchpad/smart control.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></p> <p><span style=""font-weight: 400;"">RECYCLING FILTERS WILL EVENTUALLY NOT WORK AND WILL CAUSE ISSUES WITH YOUR SYSTEM</span></p> <p><span style=""font-weight: 400;"">Good practice is to skim any hair, lint, leaves etc out of the pool as soon as you see it and to turn off the heater/filter when removing the filter to clean or replace it. This avoids inadvertently sucking any debris through the system. </span></p> <p><span style=""font-weight: 400;"">Debris unknowingly sucked inside the control unit can interfere with the inlet and outlet flow switches, as seen below, and will result in flow errors.</span></p> <p><span style=""font-weight: 400;""><img src=""https://storage.googleapis.com/betterdocs-shopify-assets/11978/mceu_56404513111758157583983.jpg"" width=""400"" /></span></p> <p><a href=""https://portablespas.co.nz/collections/accessories/products/filter-cartridge-twin-pack-120-pleats""><span style=""font-weight: 400;"">120 Pleat Filters can be purchased here</span></a></p>","","","General Info","general-info","<p style=""text-align: left;""><span style=""font-size: 16px;""><strong>IMPORTANT NOTICE:</strong> For MSpas, with inflated liners / shells, please do not deflate or drain the spa unless you are absolutely certain that is necessary to clear any error. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">Similarly, unless you are positive that your error has been resolved, please do not refill your MSpa. If the error persists, you will have to deflate and drain your MSpa again to send us your control unit for assessment and repair. </span></p> <p style=""text-align: left;""><span style=""font-size: 16px;"">If you have any questions or concerns, please email us at </span><a style=""color: #1155cc; font-size: 16px;"" href=""mailto:service@portablespas.co.nz"" target=""_blank"" rel=""noopener"">service@portablespas.co.nz</a><span style=""font-size: 16px;"">&nbsp;or phone Dave on 027 411 2323&nbsp;</span></p>","published","Filter Cleaning And Replacement","Filters should be cleaned at least once per week, but as a rule wash them thoroughly with a garden hose anytime filters start to look brown in colour like in this vi"
"Mono-Eco / Tuscany","mono-eco-tuscany","<p><span style=""color: #000000;""><a style=""color: #000000; font-size: 16px;"" href=""https://cdn.shopify.com/s/files/1/0493/3651/6768/files/mono-eco-tuscany-owners-manual.pdf?v=1756707451"" target=""_blank"" rel=""noopener"">Mono Eco &amp; Tuscany Owner's Manual (pdf)</a></span></p> <p>&nbsp;</p> <p><span style=""color: #000000;""><iframe src=""https://www.youtube.com/embed/OxrRAYUY3Gc"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen""></iframe></span></p>","","","Owners Manuals","owners-manuals","","published","Mono-Eco / Tuscany","Mono Eco & Tuscany Owner's Manual (pdf)"
"Camaro","camaro","<p><a title=""Camaro Owner's Manual (pdf)"" href=""https://cdn.shopify.com/s/files/1/0493/3651/6768/files/camaro-owners-manual.pdf?v=1756707448"" target=""_blank"" rel=""noopener"">Camaro Owner's Manual (pdf)</a></p>","","","Owners Manuals","owners-manuals","","published","Camaro","Camaro Owner's Manual (pdf)"
